t,x,y,z
11.03,-12.274395144377873,-13.154429104662842,30.93103656091511
11.040000000000001,-12.333056372318564,-12.619206519823022,31.681644896413932
11.05,-12.33084634135681,-11.99878104784296,32.34620734332011
11.06,-12.266105056252465,-11.306898060326239,32.90681770584726
11.07,-12.139933627840813,-10.566839473162036,33.35668645551874
11.08,-11.954666875778408,-9.800261062543417,33.69208822158416
11.09,-11.713787082805602,-9.026263348278652,33.91155630675934
11.1,-11.42192399474656,-8.261391593791219,34.015882687226394
11.11,-11.084854820509237,-7.519635806119797,34.00811801263367
11.120000000000001,-10.709504232085335,-6.812430735918157,33.89357160609574
11.13,-10.30394436455055,-6.148655877455643,33.67981146419349
11.14,-9.877352320510486,-5.534714005176554,33.37672946364673
11.15,-9.43659490864116,-4.980035455715388,33.00017243138725
11.16,-8.988157598314865,-4.49077425362532,32.56352196845323
11.17,-8.539218667959279,-4.06827925380196,32.076953668682904
11.18,-8.09614301398115,-3.7121725162190793,31.55033553906779
11.19,-7.664482150766302,-3.420349305928603,30.99322799975269
11.200000000000001,-7.248974210679558,-3.1889780930605784,30.41488388403557
11.21,-6.853543944065032,-3.012500552823328,29.824248438368
11.22,-6.4813027192456865,-2.8836315655032037,29.22995932235451
11.23,-6.134577421031333,-2.7961624411442383,28.6373287379058
11.24,-5.814635781446087,-2.7476629164962056,28.047006863223178
11.25,-5.522106125705123,-2.733913242464556,27.461961449344226
11.26,-5.25737295100845,-2.751023794549776,26.884777547408166
11.27,-5.020579002760102,-2.7954695468780457,26.31761692098659
11.28,-4.811625274568128,-2.8640900722012317,25.762218046083472
11.290000000000001,-4.630171008244566,-2.9540895418969106,25.219896111135057
11.3,-4.475633693805568,-3.0630367259682987,24.69154301701026
11.31,-4.346970069657599,-3.1891414635979496,24.177856274760305
11.32,-4.24269433232452,-3.3318153009076332,23.67997093078114
11.33,-4.162341798870191,-3.490033636807408,23.19846534633282
11.34,-4.105462304784566,-3.663008229852927,22.73395952670509
11.35,-4.07153168219603,-3.8502718719264393,22.287183198651885
11.36,-4.059951759871405,-4.051678388236789,21.85897581039138
11.370000000000001,-4.070050363215947,-4.267402637319455,21.45028653160589
11.38,-4.101081314273342,-4.4979405110363935,21.06217425344216
11.39,-4.152224431725711,-4.744108934576273,20.69580758851095
11.4,-4.222585530893606,-5.007045866454318,20.3524648708873
11.41,-4.311208234402309,-5.28818682164106,20.033536914585813
11.42,-4.418063560011913,-5.587852828585591,19.740651554583987
11.43,-4.543847088511566,-5.906521178698305,19.475496651064372
11.44,-4.688983903649643,-6.245112942472109,19.239965469589023
11.450000000000001,-4.8538021906682784,-6.604309683379329,19.036267933837305
11.46,-5.03853323630324,-6.984553457871447,18.86693062560605
11.47,-5.243311428784109,-7.386046815379485,18.734796784809305
11.48,-5.468174257834161,-7.808752798313753,18.64302630947852
11.49,-5.713062314670398,-8.252394942063916,18.59509575576248
11.5,-5.977819292003548,-8.71645727499898,18.594798337927323
11.51,-6.262191984038063,-9.200184318467315,18.64624392835653
11.52,-6.565491032843675,-9.702137479954487,18.75249992821019
11.53,-6.88672760059853,-10.218798355582424,18.915055904130828
11.540000000000001,-7.226541331258504,-10.746654766992794,19.141844473702964
11.55,-7.584916784413284,-11.281041752121027,19.439784996820816
11.56,-7.960998411292097,-11.815987505651119,19.81411558622908
11.57,-8.353090554763478,-12.344213379015269,20.268393107522815
11.58,-8.75865744933532,-12.85713388039396,20.804493179147446
11.59,-9.17432322115489,-13.344856674715968,21.42261017239879
11.6,-9.595871888008803,-13.796182583658357,22.12125721142304
11.61,-10.018247359323052,-14.19860558564648,22.897266173216764
11.620000000000001,-10.43555343616306,-14.538312815854033,23.745787687627086
11.63,-10.84105381123339,-14.800184566202827,24.660291137351035
11.64,-11.227294281562049,-14.967926837176275,25.632661215871632
11.65,-11.58900720022234,-15.029677607317058,26.65222035727171
11.66,-11.91737407196588,-14.976979040727603,27.696200372515616
11.67,-12.202831352984504,-14.803704858229963,28.740010263785933
11.68,-12.437226004137932,-14.507478645974041,29.7604124276831
11.69,-12.613815490953758,-14.089673855437585,30.735522655225402
11.700000000000001,-12.72726778362747,-13.555413803426088,31.644810131849137
11.71,-12.773661357022378,-12.913571672073184,32.46909743740797
11.72,-12.750485190669743,-12.176770508840084,33.19056054617392
11.73,-12.656553737228373,-11.36148479553622,33.79252979084143
11.74,-12.490824189857541,-10.491887812847448,34.25787902552122
11.75,-12.256845494913412,-9.595294674508274,34.58234578864031
11.76,-11.960321912524186,-8.695740947074968,34.767691934229724
11.77,-11.607780258381464,-7.814244157904961,34.81825649598587
11.78,-11.206569903740244,-6.968803795156836,34.740955687270564
11.790000000000001,-10.764862775418834,-6.174401307790208,34.54528290111094
11.8,-10.291653355799188,-5.443000105566265,34.24330871019967
11.81,-9.796758682826416,-4.783545559046924,33.849680866894715
11.82,-9.290610640494002,-4.201790859435354,33.38162494723473
11.83,-8.781433520895346,-3.6984510388997407,32.85608653985437
11.84,-8.276628382101922,-3.2722858841039866,32.28541644855311
11.85,-7.782958042475558,-2.9208565744098873,31.680579252102547
11.86,-7.306207737754281,-2.6402348367937583,31.05160187558435
11.870000000000001,-6.851185121052241,-2.4250029458464057,30.40757359039015
11.88,-6.421720262860027,-2.268253723773265,29.75664601422201
11.89,-6.020665651044184,-2.1615905403941715,29.10603311109172
11.9,-5.6498990499752795,-2.0956299671821417,28.461730305355076
11.91,-5.31026811845828,-2.0666953815401157,27.825238901367864
11.92,-5.001819506676409,-2.0709335416003087,27.19812838873406
11.93,-4.724346048439935,-2.1039144481493612,26.582296602368338
11.94,-4.477439014321973,-2.1617484179087585,25.979303175481583
