t,theta,omega
0.63,-0.23393559537627717,-2.7060908614645047
0.64,-0.2608382276883487,-2.6765773581583288
0.65,-0.2874365832327985,-2.6445449411683977
0.66,-0.31370649291814423,-2.6100473936391158
0.67,-0.33962415343737096,-2.5731433608596537
0.68,-0.3651661272679315,-2.5338963502639458
0.6900000000000001,-0.3903093426717458,-2.492374731430692
0.7000000000000001,-0.41503109369520175,-2.4486517360833577
0.71,-0.4393090401691545,-2.4028054580901737
0.72,-0.46312120770892695,-2.354918853464135
0.73,-0.4864459877143099,-2.3050797403630026
0.74,-0.5092621373695604,-2.2533807990893027
0.75,-0.5315487796434045,-2.1999195720903257
0.76,-0.5532854032890347,-2.1447984639581286
0.77,-0.5744536184365883,-2.0881113307484225
0.78,-0.5950482093947697,-2.0298522772162912
0.79,-0.6150557204574391,-1.9700727196746959
0.8,-0.6344607232141105,-1.908842815464061
0.81,-0.653248482494971,-1.846232038097589
0.8200000000000001,-0.6714049563708797,-1.7823091772612605
0.8300000000000001,-0.6889167961533682,-1.717142338813835
0.84,-0.7057713463946403,-1.6507989447868505
0.85,-0.7219566448875733,-1.5833457333846217
0.86,-0.7374614226657157,-1.5148487589842432
0.87,-0.7522751040032889,-1.445373392135588
0.88,-0.7663878064151868,-1.3749843195613063
0.89,-0.7797903406569759,-1.3037455441568273
0.9,-0.7924742107248949,-1.2317203849903589
0.91,-0.8044316138558549,-1.1589714773028867
0.92,-0.8156554405274397,-1.0855607725081746
0.93,-0.8261392744579051,-1.0115495381927657
0.9400000000000001,-0.83587739260618,-0.9369983581159804
0.9500000000000001,-0.8448647651718653,-0.861967132209918
0.96,-0.8530970555952342,-0.7865150765794566
0.97,-0.8605706205572329,-0.71070072350225
0.98,-0.8672825099794796,-0.634581921428734
0.99,-0.873230467024265,-0.5582158349821202
1.0,-0.8784129280945525,-0.4816589449584001
1.01,-0.8828290228339775,-0.4049670483263419
1.02,-0.8864785741268484,-0.32819525822749385
1.03,-0.8893620980981454,-0.2513980039761816
1.04,-0.8914808041135216,-0.17462903105950822
1.05,-0.8928365947793027,-0.09794140113735805
1.06,-0.8934323730755133,-0.021383754688540424
1.07,-0.8932738694760843,0.05504032631493527
1.08,-0.8923617544642254,0.13129640513361446
1.09,-0.89069583164341,0.2073356801759636
1.1,-0.8882765604536252,0.28310899849743354
1.11,-0.8851050561713713,0.35856685580045866
1.12,-0.8811830899096621,0.4336593964344582
1.1300000000000001,-0.8765130886180248,0.5083364133958352
1.1400000000000001,-0.8710981350825001,0.5825473483279767
1.1500000000000001,-0.8649419679256419,0.6562412915212543
1.16,-0.8580489816065179,0.7293669819130214
1.17,-0.8504242264207086,0.8018728070876214
1.18,-0.8420734085003083,0.8737068032763757
1.19,-0.8330028898139248,0.9448166553575932
1.2,-0.823219688166679,1.015149696856565
1.21,-0.8127314772002054,1.0846529099455675
1.22,-0.801546586392652,1.1532729254438614
1.23,-0.7896740010586799,1.2209560228176908
1.24,-0.7771233623494639,1.2876481301802845
1.25,-0.7639049672526921,1.3532948242918545
1.26,-0.7500297685925659,1.4178413305595987
1.27,-0.7355093750298001,1.481232523037698
1.28,-0.7203560510616233,1.5434129244273165
1.29,-0.7045827170217769,1.6043267060766042
1.3,-0.6882029490805163,1.6639176879806952
1.31,-0.6712309792446098,1.7221293387817056
1.32,-0.6536816953573396,1.778904775768738
1.33,-0.6355706410985007,1.8341867648778785
1.34,-0.6169140159844021,1.8879177206921967
1.35,-0.5977286753678659,1.940039706441746
1.36,-0.5780321304382277,1.990494434003566
1.37,-0.5578425482213363,2.0392232639016785
1.3800000000000001,-0.5371787515795543,2.086167205307089
1.3900000000000001,-0.5160602192117572,2.1312669160377897
1.4000000000000001,-0.49450708565333445,2.1744627025587557
1.41,-0.47254014127618904,2.2156945199819433
1.42,-0.45018078301843467,2.254902176874624
1.43,-0.42744100944580443,2.2920662289008025
1.44,-0.4043362753106446,2.327153698081704
1.45,-0.38088998983468886,2.360102633938356
1.46,-0.3571256430105954,2.390855532054998
1.47,-0.3330668056019469,2.41935933407908
1.48,-0.3087371291432506,2.4455654277212635
1.49,-0.2841603459399378,2.469429646755422
1.5,-0.25936026906836473,2.4909122710186407
1.51,-0.23436079237581198,2.509978026411215
1.52,-0.2091858904804843,2.526596084896652
1.53,-0.1838596187715113,2.540740064501672
1.54,-0.15840611340894672,2.5523880293162042
1.55,-0.1328495913237689,2.5615224894933912
1.56,-0.10721435021788073,2.568130401249586
1.57,-0.0815247685641095,2.5722031668643535
1.58,-0.055805305606206834,2.5737366346804693
1.59,-0.030080501358848988,2.572731099103921
1.6,-0.004374976607636527,2.569191300603909
1.61,0.021286567090905262,2.5631264257128414
1.62,0.04687934740932709,2.5545501070263423
1.6300000000000001,0.0723785012492546,2.5434804232032433
1.6400000000000001,0.09775908474138961,2.52993989896559
1.6500000000000001,0.12299607324550899,2.5139555050986386
1.6600000000000001,0.1480643613504654,2.4955586584508564
1.67,0.17293876287418652,2.474785221933923
1.68,0.19759401086367678,2.451675504522728
1.69,0.22200475759501515,2.4262742612553736
1.7,0.2461455745733564,2.3986306932331733
1.71,0.2699909525329305,2.368798447620652
1.72,0.29352296324006066,2.3368176747076808
1.73,0.31672873209857416,2.302718344013759
1.74,0.3395861772911481,2.2665532485099753
1.75,0.3620738255827253,2.2283761554845385
1.76,0.3841708921604432,2.1882416246126994
1.77,0.4058572806336348,2.1462050079567527
1.78,0.4271135830338278,2.102322449966035
1.79,0.44792107981474516,2.0566508874769265
1.8,0.46826173985230474,2.0092480497128498
1.81,0.4881182204446197,1.9601724582842706
1.82,0.5074738673119981,1.9094834271886976
1.83,0.526312714596943,1.8572410628106824
1.84,0.5446194848641526,1.8035062639218193
1.85,0.5623795891005204,1.7483407216807456
1.86,0.5795791267151347,1.6918069196331418
1.87,0.5962048855392788,1.6339681337117304
1.8800000000000001,0.6122443418264313,1.5748884322362777
1.8900000000000001,0.6276856602522657,1.5146326759135924
1.9000000000000001,0.6425176939146507,1.4532665178375266
1.9100000000000001,0.65672998433365,1.3908564034889743
1.92,0.6703127614515219,1.327469570735875
1.93,0.683256943632721,1.2631740498332062
1.94,0.695554137663896,1.1980386634229925
1.95,0.7071966387538904,1.1321330265343004
1.96,0.7181774305337438,1.0655275465832381
1.97,0.7284901850566899,0.9982934233729586
1.98,0.738129262798158,0.9305026490936561
1.99,0.7470897126557723,0.8622280083225689
2.0,0.7553672719493522,0.7935430780239776
2.0100000000000002,0.7629604352082192,0.7244971241691358
2.02,0.7698700952249967,0.6550871631432459
2.0300000000000002,0.7760912945173669,0.5853581094645226
2.04,0.7816193848705886,0.5153578897414175
2.05,0.7864503259865485,0.44513455171642347
2.06,0.7905806854837598,0.3747362642660834
2.07,0.794007638897362,0.3042113174010004
2.08,0.7967289696791223,0.23360812226581507
2.09,0.7987430691974338,0.16297521113923175
2.1,0.8000489367373169,0.09236123743399172
2.11,0.8006461795004187,0.021814975696900052
2.12,0.8005350126050131,-0.048614678391200816
2.13,0.7997162590860007,-0.11887870801540512
2.14,0.7981913498949091,-0.1889279752267694
2.15,0.7959623238998926,-0.2587132209422873
2.16,0.793031827885732,-0.32818506494491406
2.17,0.7894031165538354,-0.3972940058835426
2.18,0.7850800525222374,-0.4659904212730275
2.19,0.7800671063255997,-0.5342245674941608
2.2,0.77436935641521,-0.6019465797936956
2.21,0.7679924891589841,-0.6691064722843232
2.22,0.760942798841463,-0.735654137944697
2.23,0.7532271876638162,-0.801539348619406
2.24,0.7448531657438384,-0.8667117550190033
2.25,0.7358288511159526,-0.931120886719977
2.2600000000000002,0.7261629697312071,-0.9947161521647785
2.27,0.7158648554572784,-1.0574468386617968
2.2800000000000002,0.7049444500784685,-1.1192621123853808
2.29,0.6934123032957076,-1.1801110183758192
2.3000000000000003,0.6812795727265509,-1.2399424805393604
2.31,0.6685580239051827,-1.2987053016481913
2.32,0.6552600302824121,-1.3563481633404582
2.33,0.6413985732256752,-1.4128196261202537
2.34,0.6269872420190367,-1.468068129357615
2.35,0.6120349124557192,-1.5220702109500261
2.36,0.5965483911071288,-1.5748002266567849
2.37,0.5805418614070864,-1.6261873463582341
2.38,0.5640299487954862,-1.6761631094878187
2.39,0.5470276749391584,-1.724661701505481
2.4,0.5295504577318755,-1.7716199538976445
2.41,0.5116141112943464,-1.81697734417723
2.42,0.49323484597422257,-1.8606759958836387
2.43,0.47442926834609134,-1.9026606785827707
2.44,0.4552143812114827,-1.9428788078670058
2.45,0.43560758359886287,-1.9812804453552215
2.46,0.41562667076364046,-2.017818298692777
2.47,0.3952898341881602,-2.0524477215515273
2.48,0.3746156615817094,-2.085126713629811
2.49,0.35362313688051145,-2.115815920652461
2.5,0.33233164024773243,-2.144478634370795
2.5100000000000002,0.31076094807347415,-2.171080792562623
2.52,0.28893123297478157,-2.195590979032242
2.5300000000000002,0.26686306379563496,-2.217980423610441
2.54,0.2445774056069579,-2.238223002154494
2.5500000000000003,0.22209561970660968,-2.256295236548169
2.56,0.1994394636193923,-2.27217629470172
2.57,0.1766310910970444,-2.2858479905518907
2.58,0.15369305211824408,-2.297294784061916
2.59,0.1306482928886114,-2.306503781221516
2.6,0.10752015584070218,-2.313464734046905
2.61,0.08433237963401519,-2.318170040580783
2.62,0.061109099154984636,-2.3206147448923398
2.63,0.037874845516988165,-2.320796537077255
2.64,0.014654546060338891,-2.318715753257698
2.65,-0.008526475647707255,-2.314375375582326
2.66,-0.031643026498094,-2.3077816812956344
2.67,-0.05468404686606428,-2.2989617768995125
2.68,-0.07763143086867416,-2.2879373598711714
2.69,-0.10046104346591866,-2.274724586624879
2.7,-0.12314927288358506,-2.259341961234832
2.71,-0.14567303061324455,-2.241810335435162
2.72,-0.16800975141226054,-2.2221529086199268
2.73,-0.1901373933037805,-2.2003952278431202
2.74,-0.2120344375767438,-2.1765651878186625
2.75,-0.2336798887858744,-2.1506930309204098
2.7600000000000002,-0.2550532747516877,-2.1228113471821435
2.77,-0.2761346465604837,-2.092955074297582
2.7800000000000002,-0.2969045785643542,-2.0611614976203696
2.79,-0.3173441683811753,-2.0274702501640864
2.8000000000000003,-0.3374350368946149,-1.9919233126022382
2.81,-0.35715932825412555,-1.954565013268268
2.82,-0.37649970987495013,-1.9154420281555444
2.83,-0.39543937243811983,-1.8746033809173681
2.84,-0.4139620298904516,-1.8321004428669752
2.85,-0.4320519194445536,-1.7879869329775258
2.86,-0.4496938015788188,-1.7423189178821183
2.87,-0.46687296003743145,-1.6951548118737756
2.88,-0.48357520183036085,-1.6465553769054577
2.89,-0.49978685723336735,-1.596583722590049
2.9,-0.5154947797879964,-1.5453053062003728
2.91,-0.5306863463015846,-1.4927879326691746
2.92,-0.5453494568472538,-1.43910175458914
2.93,-0.5594725347639165,-1.3843192722128768
2.94,-0.5730445266562705,-1.3285153334529325
2.95,-0.586054902394805,-1.2717671338817766
2.96,-0.5984936551157937,-1.2141542167318193
2.97,-0.6103513012213019,-1.1557584728953922
2.98,-0.6216188803791798,-1.0966641409247675
2.99,-0.6322889692817413,-1.0369454466336692
3.0,-0.6423630457818353,-0.9765617025427622
3.0100000000000002,-0.651835547643965,-0.9155373596287182
3.02,-0.6606990894523299,-0.8539233626792995
3.0300000000000002,-0.6689468749815133,-0.7917705249448621
3.04,-0.6765726971964782,-0.7291295281383778
3.0500000000000003,-0.683570938252571,-0.6660509224354119
3.06,-0.6899365694955181,-0.6025851264741455
3.0700000000000003,-0.695665151461429,-0.5387824273553536
3.08,-0.700752833876794,-0.4746929806424268
3.09,-0.705196355658485,-0.41036681036135225
3.1,-0.7089930449137564,-0.34585380900072105
3.11,-0.7121408189402431,-0.2812037375117389
3.12,-0.7146381842259626,-0.21646622530820359
3.13,-0.7164842364493132,-0.15169077026652944
3.14,-0.7176786604790757,-0.0869267387257242
3.15,-0.7182217303744118,-0.022223365487411773
3.16,-0.7181143093848656,0.04237024618419061
3.17,-0.7173578499503621,0.10680512456225033
3.18,-0.7159543937012084,0.1710324294573402
3.19,-0.7139065714580932,0.23500345221741803
3.2,-0.7112176032320866,0.29866961572784767
3.21,-0.7078912982246407,0.3619824744113771
3.22,-0.7039320548275889,0.4248937142281606
3.23,-0.6993448606231467,0.48735515267573737
3.24,-0.6941352923839105,0.5493187387890515
3.25,-0.6883095160728594,0.610736553140433
3.2600000000000002,-0.6818742868433529,0.6715608078396176
3.27,-0.6748369490391335,0.7317438465337243
3.2800000000000002,-0.667205436194324,0.7912381444072794
3.29,-0.6589882710334303,0.8499963081821944
3.3000000000000003,-0.650194524704072,0.9079713660955298
3.31,-0.6408291680895242,0.9651442020021709
3.3200000000000003,-0.6308978521449766,1.0214770018508033
3.33,-0.6204093657639977,1.0769106216807067
3.34,-0.609372971485914,1.1313872473963178
3.35,-0.5977984054958106,1.1848503947672224
3.36,-0.5856958776245342,1.2372449094281486
3.37,-0.5730760713486879,1.2885169668789827
3.38,-0.5599501437906363,1.3386140724847513
3.39,-0.5463297257185011,1.3874850614756395
3.4,-0.5322269215461657,1.4350800989469725
3.41,-0.5176543093332696,1.4813506798592335
3.42,-0.5026249407852148,1.5262496290380465
3.43,-0.4871523412531594,1.569731101174193
3.44,-0.4712505097340236,1.6117505808235961
3.45,-0.45493391887048373,1.6522648824073352
3.46,-0.43821751495097866,1.6912321502116319
3.47,-0.42111671790970306,1.7286118583878642
3.48,-0.403647421326614,1.7643648109525527
